------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:37 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.synack                                    | Total                     | 657
tcp.rst                                       | Total                     | 294
tcp.stream_depth_reached                      | Total                     | 2
tcp.overlap                                   | Total                     | 17
detect.alert                                  | Total                     | 57
app_layer.flow.http                           | Total                     | 38
app_layer.tx.http                             | Total                     | 101
app_layer.flow.tls                            | Total                     | 495
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 529
app_layer.tx.dns_udp                          | Total                     | 1986
app_layer.flow.failed_udp                     | Total                     | 251
flow_mgr.closed_pruned                        | Total                     | 204
flow_mgr.new_pruned                           | Total                     | 147
flow_mgr.est_pruned                           | Total                     | 282
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 268
flow_mgr.flows_notimeout                      | Total                     | 2
flow_mgr.flows_timeout                        | Total                     | 266
flow_mgr.flows_timeout_inuse                  | Total                     | 266
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65266
flow_mgr.rows_empty                           | Total                     | 3
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 6936560
http.memuse                                   | Total                     | 66655
flow.memuse                                   | Total                     | 7712760
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:49 (uptime: 0d, 00h 02m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 195456
decoder.bytes                                 | Total                     | 152712097
decoder.ipv4                                  | Total                     | 195426
decoder.ipv6                                  | Total                     | 12
decoder.ethernet                              | Total                     | 195456
decoder.tcp                                   | Total                     | 143507
decoder.udp                                   | Total                     | 51924
decoder.icmpv4                                | Total                     | 5
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 781
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 785
flow.udp                                      | Total                     | 954
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 781
tcp.syn                                       | Total                     | 801
tcp.synack                                    | Total                     | 782
tcp.rst                                       | Total                     | 365
tcp.stream_depth_reached                      | Total                     | 3
tcp.overlap                                   | Total                     | 50
detect.alert                                  | Total                     | 72
app_layer.flow.http                           | Total                     | 39
app_layer.tx.http                             | Total                     | 107
app_layer.flow.tls                            | Total                     | 602
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 638
app_layer.tx.dns_udp                          | Total                     | 2358
app_layer.flow.failed_udp                     | Total                     | 314
flow_mgr.closed_pruned                        | Total                     | 544
flow_mgr.new_pruned                           | Total                     | 167
flow_mgr.est_pruned                           | Total                     | 373
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 89
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.flows_timeout                        | Total                     | 88
flow_mgr.flows_timeout_inuse                  | Total                     | 88
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65448
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 4409600
http.memuse                                   | Total                     | 67355
flow.memuse                                   | Total                     | 7705544
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:57 (uptime: 0d, 00h 02m 09s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 236480
decoder.bytes                                 | Total                     | 185634025
decoder.ipv4                                  | Total                     | 236441
decoder.ipv6                                  | Total                     | 13
decoder.ethernet                              | Total                     | 236480
decoder.tcp                                   | Total                     | 176640
decoder.udp                                   | Total                     | 59798
decoder.icmpv4                                | Total                     | 13
decoder.icmpv6                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 784
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 921
flow.udp                                      | Total                     | 1166
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 917
tcp.syn                                       | Total                     | 939
tcp.synack                                    | Total                     | 918
tcp.rst                                       | Total                     | 422
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 83
detect.alert                                  | Total                     | 88
app_layer.flow.http                           | Total                     | 49
app_layer.tx.http                             | Total                     | 119
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 18
app_layer.flow.tls                            | Total                     | 707
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 791
app_layer.tx.dns_udp                          | Total                     | 2898
app_layer.flow.failed_udp                     | Total                     | 373
flow_mgr.closed_pruned                        | Total                     | 603
flow_mgr.new_pruned                           | Total                     | 177
flow_mgr.est_pruned                           | Total                     | 397
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 78
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.flows_timeout                        | Total                     | 75
flow_mgr.flows_timeout_inuse                  | Total                     | 75
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65459
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 6064544
http.memuse                                   | Total                     | 173686
ftp.memuse                                    | Total                     | 2679
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7780000
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:21:05 (uptime: 0d, 00h 02m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 261440
decoder.bytes                                 | Total                     | 205616250
decoder.ipv4                                  | Total                     | 261398
decoder.ipv6                                  | Total                     | 16
decoder.ethernet                              | Total                     | 261440
decoder.tcp                                   | Total                     | 201171
decoder.udp                                   | Total                     | 60226
decoder.icmpv4                                | Total                     | 14
decoder.icmpv6                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 786
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 1026
flow.udp                                      | Total                     | 1350
flow.icmpv6                                   | Total                     | 3
tcp.sessions                                  | Total                     | 1022
tcp.syn                                       | Total                     | 1045
tcp.synack                                    | Total                     | 1024
tcp.rst                                       | Total                     | 465
tcp.stream_depth_reached                      | Total                     | 5
tcp.overlap                                   | Total                     | 93
detect.alert                                  | Total                     | 112
app_layer.flow.http                           | Total                     | 61
app_layer.tx.http                             | Total                     | 133
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 18
app_layer.flow.tls                            | Total                     | 782
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 895
app_layer.tx.dns_udp                          | Total                     | 3242
app_layer.flow.failed_udp                     | Total                     | 453
flow_mgr.closed_pruned                        | Total                     | 671
flow_mgr.new_pruned                           | Total                     | 219
flow_mgr.est_pruned                           | Total                     | 699
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 134
flow_mgr.flows_notimeout                      | Total                     | 7
flow_mgr.flows_timeout                        | Total                     | 127
flow_mgr.flows_timeout_inuse                  | Total                     | 127
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65404
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 7455264
http.memuse                                   | Total                     | 305598
ftp.memuse                                    | Total                     | 2679
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7749824
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:21:13 (uptime: 0d, 00h 02m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 273664
decoder.bytes                                 | Total                     | 217544028
decoder.ipv4                                  | Total                     | 273622
decoder.ipv6                                  | Total                     | 16
decoder.ethernet                              | Total                     | 273664
decoder.tcp                                   | Total                     | 213234
decoder.udp                                   | Total                     | 60384
decoder.icmpv4                                | Total                     | 17
decoder.icmpv6                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 794
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 1138
flow.udp                                      | Total                     | 1485
flow.icmpv6                                   | Total                     | 3
tcp.sessions                                  | Total                     | 1134
tcp.syn                                       | Total                     | 1157
tcp.synack                                    | Total                     | 1137
tcp.rst                                       | Total                     | 504
tcp.stream_depth_reached                      | Total                     | 6
tcp.overlap                                   | Total                     | 168
detect.alert                                  | Total                     | 119
app_layer.flow.http                           | Total                     | 69
app_layer.tx.http                             | Total                     | 142
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 18
app_layer.flow.tls                            | Total                     | 874
app_layer.flow.ftp-data                       | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 4
app_layer.tx.dhcp                             | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 984
app_layer.tx.dns_udp                          | Total                     | 3516
app_layer.flow.failed_udp                     | Total                     | 497
flow_mgr.closed_pruned                        | Total                     | 765
flow_mgr.new_pruned                           | Total                     | 254
flow_mgr.est_pruned                           | Total                     | 823
